Date,Open,High,Low,Close,Volume,Adj Close
2007-11-05,84.10,85.10,84.01,84.29,806800,33.421
2007-11-02,85.78,85.84,84.51,84.75,1140400,33.604
2007-11-01,86.01,86.60,85.17,86.02,965200,34.107
2007-10-31,85.45,86.78,85.41,86.35,974800,34.238
2007-10-30,86.35,86.98,85.13,85.64,1254300,33.956
2007-10-29,86.96,87.00,85.96,86.38,858000,34.25
2007-10-26,85.80,87.00,85.35,86.22,1500400,34.186
2007-10-25,88.20,88.44,85.08,85.40,2702400,33.861
2007-10-24,89.99,89.99,87.40,87.78,2158500,34.805
2007-10-23,88.99,90.47,88.15,89.00,1717800,35.289
2007-10-22,87.48,88.24,86.50,88.01,1163500,34.896
2007-10-19,87.89,88.98,87.57,88.19,1285400,34.968
2007-10-18,88.24,88.63,87.57,88.40,1661200,35.051
2007-10-17,88.81,89.30,88.22,88.68,1193000,35.162
2007-10-16,89.01,89.75,88.65,89.21,1589100,35.372
2007-10-15,89.42,90.30,89.14,89.40,754300,35.447
2007-10-12,89.30,89.93,89.00,89.66,761400,35.55
2007-10-11,89.85,90.14,89.12,89.75,2004800,35.586
2007-10-10,89.81,90.12,87.24,90.12,3398400,35.733
2007-10-09,89.28,89.70,88.60,89.65,1691000,35.546
2007-10-08,89.65,90.11,89.00,89.45,1699000,35.467
2007-10-05,88.01,89.70,87.44,89.39,2271100,35.443
2007-10-04,87.22,87.99,86.11,87.93,1893600,34.864
2007-10-03,86.70,87.90,85.60,87.41,2055500,34.658
2007-10-02,83.90,86.85,83.40,86.66,4498700,34.361
2007-10-01,85.10,86.40,83.00,83.00,4025300,32.91
2007-09-28,89.00,89.69,82.84,84.60,8298600,33.544
2007-09-27,95.00,95.00,89.56,90.00,3976400,35.685
2007-09-26,96.46,96.94,94.03,94.03,1354600,37.283
2007-09-25,95.99,97.16,95.30,96.45,834700,38.243
2007-09-24,98.00,98.06,96.74,96.74,940700,38.358
2007-09-21,96.93,98.34,96.93,98.00,2052700,38.857
2007-09-20,97.83,98.76,96.99,97.54,1045100,38.675
2007-09-19,99.01,99.59,97.70,98.42,1357100,39.024
2007-09-18,97.30,99.00,97.01,98.19,924100,38.933
2007-09-17,97.00,98.00,96.50,97.58,1067100,38.691
2007-09-14,99.79,99.81,96.89,96.99,1700400,38.457
2007-09-13,100.16,100.82,99.18,99.84,1636800,39.587
2007-09-12,98.83,100.09,98.25,99.82,1848000,39.579
2007-09-11,96.50,98.63,95.70,97.70,3890100,38.738
2007-09-10,93.01,93.48,91.80,92.26,1070600,36.581
2007-09-07,95.30,96.30,93.10,93.32,1048700,37.002
2007-09-06,94.04,94.62,93.09,94.46,691200,37.454
2007-09-05,94.33,94.92,92.66,92.96,838800,36.859
2007-09-04,94.38,94.78,92.95,94.71,729800,37.553
2007-09-03,94.77,94.77,92.73,94.10,843500,37.311
2007-08-31,92.67,94.35,91.72,94.14,1201700,37.327
2007-08-30,91.49,92.35,90.41,92.00,751200,36.478
2007-08-29,90.51,90.92,90.06,90.59,717100,35.919
2007-08-28,91.62,91.81,90.86,91.48,1069000,36.272
2007-08-27,91.75,92.35,91.23,92.00,545900,36.478
2007-08-24,91.46,92.17,91.25,91.48,890500,36.272
2007-08-23,92.20,92.90,91.50,91.57,961800,36.308
2007-08-22,90.20,92.51,90.20,92.10,1230100,36.518
2007-08-21,92.74,92.74,91.05,91.51,1206500,36.284
2007-08-20,92.97,93.06,91.27,92.23,1603400,36.569
