"variable","relative_importance","scaled_importance","percentage"
"Mean_TemperatureC14",69.8688583374023,0.000441315861952095,0.000300449036851908
"Mean_Wind_SpeedKm_h",66.1124420166016,0.000417589037929014,0.000284295750646067
"Min_VisibilitykM",63.5265502929688,0.000401255651895728,0.000273175937094557
"Max_Sea_Level_PressurehPa",62.521369934082,0.000394906585272122,0.000268853475301471
"Mean_Humidity",61.8650207519531,0.000390760856947008,0.000266031052203374
"Mean_Sea_Level_PressurehPa",61.7599678039551,0.000390097306212109,0.000265579305061721
"Goog_trend",60.79931640625,0.00038402949990037,0.000261448326052487
"Mean_TemperatureC",52.7768325805664,0.000333356718796216,0.000226950159115983
"SP_POP_GROW",52.6902008056641,0.000332809522558533,0.000226577626431901
"Dew_PointC",50.0713920593262,0.000316268221230884,0.000215316263583564
"SchoolHoliday",47.5900726318359,0.000300595349969223,0.000204646130281668
"Mean_TemperatureC-3",47.0584869384766,0.00029723767096818,0.000202360213302707
"CloudCover",46.8846435546875,0.000296139616060927,0.000201612654540973
"Mean_TemperatureC13",46.5457611083984,0.000293999117383215,0.0002001553972304
"Open4",44.8145484924316,0.000283064180044633,0.000192710862205349
"Mean_TemperatureC8",44.7983436584473,0.000282961824711402,0.000192641178416622
"Sales_all_avg",43.9654769897461,0.000277701150921456,0.000189059697419339
"Open-9",42.7635498046875,0.000270109363331107,0.000183891187818493
"Mean_TemperatureC3",41.0088653564453,0.000259026169785987,0.000176345719565562
"Mean_TemperatureC4",40.6731452941895,0.000256905645819021,0.00017490206109229
"Mean_TemperatureC10",40.1008338928223,0.00025329072916789,0.000172441016022829
"Open6",38.3125610351562,0.000241995379617804,0.000164751111385779
"Mean_TemperatureC2",36.8673324584961,0.00023286681633219,0.000158536360719731
"Max_Wind_SpeedKm_h4",36.2052345275879,0.000228684776922523,0.000155689216936697
"Max_Wind_SpeedKm_h2",35.9282264709473,0.000226935098278946,0.000154498030966319
"Mean_TemperatureC1",35.4715957641602,0.000224050860883991,0.000152534434318028
"is_quarter_end",34.3972778320312,0.00021726509744789,0.0001479146681495
"Min_DewpointC",33.3369903564453,0.000210567955225449,0.000143355235543809
"Mean_TemperatureC-2",33.1320838928223,0.000209273695167889,0.00014247409978311
"Max_Wind_SpeedKm_h5",32.5613098144531,0.000205668488780246,0.000140019665487391
"Mean_TemperatureC9",30.7478218078613,0.000194213871633018,0.000132221331037846
"year",30.734712600708,0.000194131069348967,0.000132164959018081
"Mean_TemperatureC5",28.6182727813721,0.000180762903826216,0.000123063875639793
"Min_TemperatureC",26.7508106231689,0.000168967367279298,0.000115033442337448
"Mean_TemperatureC6",25.0876483917236,0.000158462259693426,0.000107881536574896
"Open-6",23.8933582305908,0.000150918710186204,0.000102745867591995
"MeanDew_PointC",23.8729667663574,0.00015078991064906,0.000102658180517457
"Open2",22.6237392425537,0.000142899357768127,9.72862706957276e-05
"Mean_TemperatureC-1",22.6231670379639,0.000142895743526134,9.72838101099675e-05
"Mean_TemperatureC12",22.2370147705078,0.000140456672317411,9.56232838097511e-05
"Mean_TemperatureC11",21.3787326812744,0.000135035465945626,9.19325117949553e-05
"Mean_TemperatureC7",20.7885322570801,0.000131307556042332,8.93945406126803e-05
"Open7",20.0728950500488,0.000126787344056889,8.63171680220246e-05
"Promo",17.2139720916748,0.000108729398361874,7.40232695711684e-05
"Open5",16.8829517364502,0.00010663855936914,7.25998207089395e-05
"Open-4",14.6800956726074,9.27245589731907e-05,6.31271314672055e-05
"Open12",13.693675994873,8.64939912970502e-05,5.88853440792412e-05
"Open-14",13.532753944397,8.54775519977275e-05,5.81933494449466e-05
"Open-12",10.0231885910034,6.33099240177385e-05,4.31015681379741e-05
"Open-8",7.28219509124756,4.59968615499309e-05,3.13147882103259e-05
"Open-13",4.81808042526245,3.04326615093833e-05,2.07186385707723e-05
"State",3.09132432937622,1.95258730921876e-05,1.32932674078167e-05
"Open-7",1.95214629173279,1.233043080842e-05,8.39459076764622e-06
"HHDI",1.39020502567291,8.78101551670189e-06,5.97813920148902e-06
