"variable","relative_importance","scaled_importance","percentage"
"Events7",95.6343307495117,0.000563753432777788,0.000394708881339739
"Events-3",94.1897506713867,0.000555237798574225,0.000388746706646053
"Events5",92.0732192993164,0.000542761088409214,0.000380011206291285
"Events12",89.5060729980469,0.000527628054817185,0.000369415895623366
"Events14",89.1879501342773,0.000525752756949886,0.000368102916082411
"MSCI",84.9743499755859,0.000500914066333259,0.000350712242753958
"Mean_TemperatureC1",75.5105438232422,0.000445126012360239,0.000311652542013313
"Mean_Humidity",74.7586669921875,0.00044069378450638,0.000308549341932704
"Mean_Sea_Level_PressurehPa",67.8031311035156,0.000399691696623124,0.000279841954447273
"Goog_trend",66.2969284057617,0.000390812804130615,0.000273625446450177
"Mean_Wind_SpeedKm_h",62.2540512084961,0.00036698050582942,0.000256939393194821
"Min_Sea_Level_PressurehPa",60.0184173583984,0.00035380170018976,0.000247712324535047
"MeanDew_PointC",58.7987670898438,0.000346612001466537,0.000242678496312963
"Sales_all_avg",56.652889251709,0.000333962297243282,0.000233821875114867
"Max_Sea_Level_PressurehPa",53.5038681030273,0.000315399178031323,0.000220825008768127
"Mean_TemperatureC4",46.4471092224121,0.000273800392197269,0.000191699846477323
"Min_VisibilitykM",46.0407180786133,0.000271404762923017,0.000190022559748823
"Open-9",44.9160041809082,0.000264774703238855,0.000185380559737831
"Open8",44.7069664001465,0.000263542449449227,0.000184517803989392
"Mean_TemperatureC2",43.9995346069336,0.000259372220005947,0.000181598040662407
"year",43.3984832763672,0.000255829091212899,0.000179117338424452
"Mean_TemperatureC8",42.6933784484863,0.000251672578963891,0.000176207179115981
"SchoolHoliday",40.9768257141113,0.000241553697083673,0.000169122499333775
"Mean_TemperatureC",37.5058517456055,0.000221092702851877,0.000154796846176263
"Mean_TemperatureC7",36.8144187927246,0.000217016784741013,0.000151943114412637
"Mean_TemperatureC9",36.6502265930176,0.000216048890518355,0.00015126544856855
"CloudCover",36.3514099121094,0.000214287400389099,0.000150032150892678
"Dew_PointC",35.2389373779297,0.000207729502141686,0.000145440674316788
"Mean_TemperatureC-2",34.6522979736328,0.000204271330004304,0.000143019454016452
"Open4",33.7840805053711,0.000199153287411292,0.000139436084498712
"Mean_TemperatureC-3",33.6581039428711,0.000198410669995535,0.000138916144978357
"Mean_TemperatureC-1",31.086669921875,0.000183252360786521,0.000128303137725504
"is_quarter_end",30.0881271362305,0.000177366065365507,0.000124181880193792
"Mean_TemperatureC6",29.6774978637695,0.000174945452807918,0.000122487101556161
"Mean_TemperatureC3",29.6286563873291,0.000174657537895047,0.000122285519505263
"Open7",28.106351852417,0.000165683726915622,0.000116002554848906
"Max_Wind_SpeedKm_h5",28.0566673278809,0.000165390842330729,0.000115797493309332
"Open11",26.1471252441406,0.000154134310326946,0.000107916294017852
"Open-6",24.803689956665,0.000146214913086504,0.000102371571371539
"Min_TemperatureC",24.2217788696289,0.000142784613838138,9.99698661219373e-05
"Open-7",23.2450294494629,0.000137026787811995,9.59385557341147e-05
"Mean_TemperatureC14",22.7737712860107,0.00013424877488203,9.39935451813079e-05
"Mean_TemperatureC13",22.3962535858154,0.000132023351252759,9.24354270038479e-05
"Mean_TemperatureC12",22.2662162780762,0.000131256796208638,9.18987276839705e-05
"Max_Wind_SpeedKm_h2",21.7438812255859,0.00012817769086442,8.97429089247744e-05
"Mean_TemperatureC5",21.5093765258789,0.000126795312502734,8.87750442786286e-05
"Mean_TemperatureC10",20.5124969482422,0.000120918821502544,8.46606512585108e-05
"Max_Wind_SpeedKm_h4",19.7009239196777,0.000116134691397619,8.13110687422781e-05
"Open2",19.1589660644531,0.000112939911877448,7.90742613417089e-05
"Min_DewpointC",18.9718227386475,0.00011183672339359,7.83018699609147e-05
"SP_POP_GROW",18.8232364654541,0.000110960824321364,7.7688614018044e-05
"Open-4",17.0956439971924,0.000100776864473571,7.05583702529197e-05
"Mean_TemperatureC11",16.8838539123535,9.9528386166456e-05,6.9684254997337e-05
"HHDI",16.112548828125,9.49816309840342e-05,6.65008692342798e-05
"Promo",15.5943517684937,9.1926918634055e-05,6.4362129096532e-05
"Open6",13.87770652771,8.18074914391467e-05,5.72770675152298e-05
"Open5",9.95251274108887,5.86689233728147e-05,4.1076725688016e-05
"Open-8",8.59500789642334,5.06665877032406e-05,3.54739341543497e-05
"Open12",8.53175258636475,5.02937048911011e-05,3.52128622936868e-05
"State",6.71808958053589,3.96023690766e-05,2.7727382021618e-05
"Open-14",5.58765029907227,3.29385589105501e-05,2.30617517954005e-05
"Open-12",4.54814577102661,2.68107987068558e-05,1.87714340172882e-05
"Open-13",4.15046072006226,2.44664908533007e-05,1.71300797006797e-05
