"Date";"Goog_trend_ALL"
2014-11-06;72
2014-11-07;72
2014-11-08;72
2014-11-09;71
2014-11-10;71
2014-11-11;71
2014-11-12;71
2014-11-13;71
2014-11-14;71
2014-11-15;71
2014-11-16;68
2014-11-17;68
2014-11-18;68
2014-11-19;68
2014-11-20;68
2014-11-21;68
2014-11-22;68
2014-11-23;84
2014-11-24;84
2014-11-25;84
2014-11-26;84
2014-11-27;84
2014-11-28;84
2014-11-29;84
2014-11-30;86
2014-12-01;86
2014-12-02;86
2014-12-03;86
2014-12-04;86
2014-12-05;86
2014-12-06;86
2014-12-07;89
2014-12-08;89
2014-12-09;89
2014-12-10;89
2014-12-11;89
2014-12-12;89
2014-12-13;89
2014-12-14;100
2014-12-15;100
2014-12-16;100
2014-12-17;100
2014-12-18;100
2014-12-19;100
2014-12-20;100
2014-12-21;79
2014-12-22;79
2014-12-23;79
2014-12-24;79
2014-12-25;79
2014-12-26;79
2014-12-27;79
2014-12-28;73
2014-12-29;73
2014-12-30;73
2014-12-31;73
2015-01-01;73
2015-01-02;73
2015-01-03;73
2015-01-04;72
2015-01-05;72
2015-01-06;72
2015-01-07;72
2015-01-08;72
2015-01-09;72
2015-01-10;72
2015-01-11;67
2015-01-12;67
2015-01-13;67
2015-01-14;67
2015-01-15;67
2015-01-16;67
2015-01-17;67
2015-01-18;62
2015-01-19;62
2015-01-20;62
2015-01-21;62
2015-01-22;62
2015-01-23;62
2015-01-24;62
2015-01-25;76
2015-01-26;76
2015-01-27;76
2015-01-28;76
2015-01-29;76
2015-01-30;76
2015-01-31;76
2015-02-01;72
2015-02-02;72
2015-02-03;72
2015-02-04;72
2015-02-05;72
2015-02-06;72
2015-02-07;72
2015-02-08;66
2015-02-09;66
2015-02-10;66
2015-02-11;66
2015-02-12;66
2015-02-13;66
2015-02-14;66
2015-02-15;74
2015-02-16;74
2015-02-17;74
2015-02-18;74
2015-02-19;74
2015-02-20;74
2015-02-21;74
2015-02-22;65
2015-02-23;65
2015-02-24;65
2015-02-25;65
2015-02-26;65
2015-02-27;65
2015-02-28;65
2015-03-01;71
2015-03-02;71
2015-03-03;71
2015-03-04;71
2015-03-05;71
2015-03-06;71
2015-03-07;71
2015-03-08;64
2015-03-09;64
2015-03-10;64
2015-03-11;64
2015-03-12;64
2015-03-13;64
2015-03-14;64
2015-03-15;74
2015-03-16;74
2015-03-17;74
2015-03-18;74
2015-03-19;74
2015-03-20;74
2015-03-21;74
2015-03-22;63
2015-03-23;63
2015-03-24;63
2015-03-25;63
2015-03-26;63
2015-03-27;63
2015-03-28;63
2015-03-29;75
2015-03-30;75
2015-03-31;75
2015-04-01;75
2015-04-02;75
2015-04-03;75
2015-04-04;75
2015-04-05;66
2015-04-06;66
2015-04-07;66
2015-04-08;66
2015-04-09;66
2015-04-10;66
2015-04-11;66
2015-04-12;69
2015-04-13;69
2015-04-14;69
2015-04-15;69
2015-04-16;69
2015-04-17;69
2015-04-18;69
2015-04-19;65
2015-04-20;65
2015-04-21;65
2015-04-22;65
2015-04-23;65
2015-04-24;65
2015-04-25;65
2015-04-26;79
2015-04-27;79
2015-04-28;79
2015-04-29;79
2015-04-30;79
2015-05-01;79
2015-05-02;79
2015-05-03;73
2015-05-04;73
2015-05-05;73
2015-05-06;73
2015-05-07;73
2015-05-08;73
2015-05-09;73
2015-05-10;67
2015-05-11;67
2015-05-12;67
2015-05-13;67
2015-05-14;67
2015-05-15;67
2015-05-16;67
2015-05-17;76
2015-05-18;76
2015-05-19;76
2015-05-20;76
2015-05-21;76
2015-05-22;76
2015-05-23;76
2015-05-24;70
2015-05-25;70
2015-05-26;70
2015-05-27;70
2015-05-28;70
2015-05-29;70
2015-05-30;70
2015-05-31;77
2015-06-01;77
2015-06-02;77
2015-06-03;77
2015-06-04;77
2015-06-05;77
2015-06-06;77
2015-06-07;68
2015-06-08;68
2015-06-09;68
2015-06-10;68
2015-06-11;68
2015-06-12;68
2015-06-13;68
2015-06-14;82
2015-06-15;82
2015-06-16;82
2015-06-17;82
2015-06-18;82
2015-06-19;82
2015-06-20;82
2015-06-21;71
2015-06-22;71
2015-06-23;71
2015-06-24;71
2015-06-25;71
2015-06-26;71
2015-06-27;71
2015-06-28;86
2015-06-29;86
2015-06-30;86
2015-07-01;86
2015-07-02;86
2015-07-03;86
2015-07-04;86
2015-07-05;74
2015-07-06;74
2015-07-07;74
2015-07-08;74
2015-07-09;74
2015-07-10;74
2015-07-11;74
2015-07-12;86
2015-07-13;86
2015-07-14;86
2015-07-15;86
2015-07-16;86
2015-07-17;86
2015-07-18;86
2015-07-19;74
2015-07-20;74
2015-07-21;74
2015-07-22;74
2015-07-23;74
2015-07-24;74
2015-07-25;74
2015-07-26;87
2015-07-27;87
2015-07-28;87
2015-07-29;87
2015-07-30;87
2015-07-31;87
2015-08-01;87
2015-08-02;83
2015-08-03;83
2015-08-04;83
2015-08-05;83
